question,level,category,product,option_a,option_b,option_c,option_d,correct_option
What does VOC stand for? ,2,General Q,,Vaporated Organic Compound,Volatile Oak Compound,Vegan Organic Chemical,Volatile Organic Compound,Volatile Organic Compound
What would you apply an adhesive with?,2,Product type,Application,A cloth ,A brush,A roller,A trowel,A trowel
What is the key difference between solvent based and water based paint?,2,Product type,Paint,Solvent based paint dries faster than water based,Solvent based can be cleaned up with water,Water based yellows and solvent based does not ,Solvent based yellows and Water based is non yellowing,Solvent based yellows and Water based is non yellowing
What quantity of wood dust do you use to Bona mix and fill?,2,Brand,Bona,40/60,30/70,20/80,50/50,50/50
What is the difference between Osmo 410 and Osmo 420?,2,Brand ,Osmo,Osmo 420 can go inside and outside,Osmo 420 contains white to keep the natural colour,Osmo 420 is animal friendly and 410 is not ,Osmo 410 has no boicides so can go inside and outside,Osmo 410 has no boicides so can go inside and outside
"Osmo polyx oil RAW 3044 has gone milky, why could this be? ",2,Brand,Osmo,Used on softwood,Not stirred tin enough,"Under applied, apply more ",Over application or badly sanded,Over application or badly sanded
"I have a log cabin that is 4(l) x 6m (w) and 2.4m(h), I want do the four walls and the floor, how many m2 do I have? ",2,General K,Measurements,75m2,55m2,66m2,72m2,72m2
"I want to lime my furniture, what do I need to do to the grain? ",2,Product type,,Stain the grain first ,Close the grain with 0000 steel wool,Sand the wood fine ,Open up the wood grain with a bronze brush,Open up the wood grain with a bronze brush
What does the term kiln dried wood mean in woodworking? ,3,Wood,,Wood that has been cut unseasoned in factory,Wood that has been preserved against insects,Wood that has been treated for protection against the elements,Wood that has been dried to reduce moisture content ,Wood that has been dried to reduce moisture content 
What do you need to do the top of the Bona craft oil 2k to activate hardener?,3,Brand,Bona,Use hardener on top of the oil ,Open as normal and mix in ,Open the lever and let the hardener run through,Stab the top with a screwdriver,Stab the top with a screwdriver
Describe what linear meters mean? ,3,General K,Measurements,A measurement of a circle ,A mass measurement,A squared measurement,A measurement of length  that is measured in a straight line ,A measurement of length  that is measured in a straight line 
Why would you use Barrettine shellac sanding sealer? ,3,Brand,Barrettine,Sealing in knots prior to using top coat ,Filling the wood grain prior to using topcoat,Colouring wood prior to using a top coat ,Sealing pours so  less top coat is needed,Sealing pours so  less top coat is needed
What is bitumen paint used for? ,3,Product type,Paint,Masonry  ,Veneer,Wood,Concrete and metal ,Concrete and metal 
Best Zinsser product for damaged drywall? ,3,Brand,Zinsser,Zinsser B-I-N,Zinsser all coat ,Zinsser Perma White ,Zinsser gardz,Zinsser gardz
What in wood denatures with UV light?,3,General Q,,Cellulose ,Pores,Wood grain ,Lignin ,Lignin 
What is the difference between Zinsser B-I-N and Zinsser B-I-N Aqua?,3,Brand,Zinsser,"Zinsser B-I-N is just spot primer outside, B-I-N Aqua is okay all over outside",Zinsser B-I-N is interior and Zinsser B-I-N Aqua is exterior ,Zinsser B-I-N can go on softwoods and hardwoods and B-I-N Aqua is just softwoods,"Zinsser B-I-N is solvent, Zinsser B-I-N Aqua is water based","Zinsser B-I-N is solvent, Zinsser B-I-N Aqua is water based"
What is classed as a warm paint colour? ,3,Product type,Paint,Purple,Green,Blue,Orange,Orange
What percentage of pigment is in the Osmo polyx oil tints?,3,Brand,Osmo,11%,7%,1.25%,4%,4%
What cant you do to a thixotropic paint product?,3,Product type,Paint,Apply it to furniture,Apply it inside,Apply it with a brush,Stir it ,Stir it 
"What zinsser product is best for covering smoke, nicotine and ink stains?",3,Brand,Zinsser,Zinsser bulls eye 1-2-3,Zinsser all coat exterior,Zinsser Perma White ,Zinsser cover stain,Zinsser cover stain
"In woodworking, what is a dovetail joint typically used for? ",4,Wood,,Flooring boards,"Cladding, windows & doors","Worktops, tabletops & chopping boards","Furniture, Cabinets & Drawers","Furniture, Cabinets & Drawers"
How much percentage of pigment has Osmo wood wax finish intensive got in it? ,4,Brand,Osmo,11%,4%,5%,7%,7%
What is screed used for?,4,Substrate,,Is used typically for pavements,Its used for a support structure for beams,To create adhesion between coats of adhesive,To make a surface level before laying flooring,To make a surface level before laying flooring
What causes 'Orange peel texture' when painting? ,4,Product type,Paint,Applying paint too thinly ,Applying paint to a surface that’s wet ,Applying the paint on top of a aluminum primer,Applying paint too thickly or in to hot/cold conditions,Applying paint too thickly or in to hot/cold conditions
How long should peelaway 1 be left on the surface before peeling it off?,4,Paint remover,,up to 4 hours,up to 12 hours,up to 24 hours,up to 48 hours,up to 48 hours
"When using Zinsser 'Cover Stain' oil based primer on wood, what is the most important reason to allow it to fully dry before applying a top coat?",4,Brand,Zinsser,The primer contains moistue that could prevent proper bonding of the topcoat if applied to soon,The primer provides too much texture and a proper cure is needed to allow for a smoother topcoat application,The primer is highly refective which can alter the colour of the topcoat if not applied correctly,"The oil based formulation dries by evaporation, and applying a topcoat before full curing may trap the solvents ","The oil based formulation dries by evaporation, and applying a topcoat before full curing may trap the solvents "
 Dulux Trade Weathershield offers exceptional performance in extreme weather conditions. Which characteristic of this product makes it ideal for use on wood in coastal areas with high salt and moisture levels?,4,Brand,Dulux,It has a high gloss finish that prevents water penetration and allows for easy cleaning of salt residues.,"It contains zinc oxide, which provides a natural resistance to saltwater corrosion and prevents deterioration."," It features advanced hydrophobic properties that repel water, reducing the chances of water absorption and swelling in wood.","It forms a flexible coating that expands and contracts with the wood, preventing cracks and providing long-term protection against the salt air.","It forms a flexible coating that expands and contracts with the wood, preventing cracks and providing long-term protection against the salt air."
Why do people use wet and dry sandpaper rather than just dry? ,4,Preparation ,Sanding,Wet sandpaper can only be used on metal surfaces unlike dry sandpaper,Wet sandpaper is easier to use on rough surfaces than dry sandpaper,Wet sandpaper works better because it is more abrasive than just dry sandpaper,"Wet and dry reduces friction and clogging, allowing for a smoother finish","Wet and dry reduces friction and clogging, allowing for a smoother finish"
What can wood rings tell you about the wood itself? ,4,Wood,Rings,The rings indicate the tree's exposure to sunlight throughout the year,The rings indicate the strength and durability of the wood at different points in time,How old the tree is and if it’s a softwood or a hardwood ,How old the tree is and what the weather was like during each year of the trees life,How old the tree is and what the weather was like during each year of the trees life
What is the ideal tool for applying the Osmo oil stain to get the expected 48m2 coverage?,4,Brand,Osmo,Brush ,Cloth,Roller,Double bladed scraper,Double bladed scraper
"How does the use of Morrells' ""Pre-Catalysed Lacquer"" influence the cure time and final finish quality when compared to air-dried lacquer systems?",4,Brand,Morrells,Pre-catalysed lacquer always produces a softer finish compared to air-dried lacquers,Air-dried lacquer cures faster than pre-catalysed lacquer,Pre-catalysed lacquer is not suitable for high-traffic areas due to its low durability: ,As its got a hardener incorporated already it significantly speeds up curing time compared to air dry lacquer.,As its got a hardener incorporated already it significantly speeds up curing time compared to air dry lacquer.
"What specific chemical property of linseed oil in Osmo finishes contributes to the wood’s ability to ""breathe"" while being water-resistant?",5,Brand,Osmo,Its high evaporation rate,Its solvent content that allows for faster absorption into the wood,"Its ability to form a hard, crystalline structure","Its polymerization process upon drying, forming a flexible but breathable film","Its polymerization process upon drying, forming a flexible but breathable film"
"Which wood adhesive is best for projects where flexibility is required in the bond, such as when bonding hardwood?",5,Product type,Adhesive,Contact cement,Epoxy,PVA,Polyurephane ,Polyurephane 
Which type of wood is most commonly used for Shou Sugi Ban?,5,Wood,,Oak,Pine, Maple,Cedar,Cedar
"According to color theory, which color is least likely to create a sense of warmth and intimacy, even though it is often perceived as ""warm""?",5,Colour,Mood,Red,Orange,Yellow,Blue,Blue
"What is the main reason why some woodworkers choose to apply a ""cut"" of raw linseed oil mixed with mineral spirits rather than using pure boiled linseed oil?",5,Product type,Oil,To make the wood waterproof without requiring additional coats,To prevent the oil from becoming too thick during application,To enhance the colour contrast in the wood grain,To increase the drying speed without compromising durability,To increase the drying speed without compromising durability
"What does the term ""ACQ"" stand for in relation to wood preservatives?",5,Product type,Preserver,Alkaline chromium quality,Ammonia copper quinone,Acidic copper quaternary,Alkaline copper quaternary,Alkaline copper quaternary
Whats the best rating you can get for fire protection coatings?,5,General K,Rating,Class 3 ,Class 4,Class 1,Class 0 ,Class 0 
What is a etch primer?,5,Product type,Primer,It is used to provide a high-gloss finish on wooden furniture,It is a protective layer applied to prevent corrosion on wooden surfaces,It is used as a final clear coat to protect a painted surface from scratches and moisture,"It is used to improve adhesion to metal surfaces by chemically etching the surface, creating a better bond for subsequent layers of paint.","It is used to improve adhesion to metal surfaces by chemically etching the surface, creating a better bond for subsequent layers of paint."
Titanium dioxide in paints often requires dispersion with other chemicals. What is the main reason for this?,5,General K,,To improve the glossiness of the paint finish,To reduce the toxicity of the titanium dioxide during application,To chemically bond the titanium dioxide to the surface for enhanced durability,To break up the titanium dioxide particles and ensure a smooth and even application,To break up the titanium dioxide particles and ensure a smooth and even application
"What is the typical effect of adding ""bentonite clay"" to paint formulations?",5,,,It reduces the paint’s adhesion to non-porous surfaces,It enhances the paint's resistance to UV light,It increases the drying time of the paint,"It improves the paint’s rheology, helping with thickening and suspension","It improves the paint’s rheology, helping with thickening and suspension"
What is the maximum number of paint layers that PeelAway can effectively remove in a single application?,5,Brand ,Peelaway,Up to 50 layers,Up to 10 layers,Up to 5 layers,Up to 30 layers,Up to 30 layers
In which environment is pre-catalyzed lacquer most effective?,3,Product type,Varnish ,"Cold, high-humidity areas",Areas exposed to high levels of UV light,High-traffic areas with frequent abrasion,Controlled environments with consistent temperature and humidity,Controlled environments with consistent temperature and humidity
In which scenario would you use Osmo wood protector before applying a finish? ,2,Brand ,Osmo,When working with newly installed exterior wood that has not yet weathered,When applying finishes to highly porous woods such as pine,When working on wood that will be exposed to extreme weather conditions,When treating wood in a moisture or wet area,When treating wood in a moisture or wet area
Can you use regular sandpaper for wet sanding?,3,Preparation,Sanding,"Yes, regular sandpaper can be used for wet sanding as long as it is kept dry: Regular sandpaper cannot be used effectively for wet sanding as it will likely degrade when exposed to water.","Yes, regular sandpaper works better in wet conditions: Regular sandpaper is not designed for wet conditions, and using it wet could lead to the paper breaking down or becoming ineffective","No, wet sanding can only be done using a special machine: Wet sanding can be done by hand using wet and dry sandpaper. Special machines are optional but not required.","No, regular sandpaper is not designed to be used with water. Wet sanding requires specially made wet and dry sandpaper, which is designed to hold up under moisture and prevent degradation.","No, regular sandpaper is not designed to be used with water. Wet sanding requires specially made wet and dry sandpaper, which is designed to hold up under moisture and prevent degradation."
"What is the characteristic pattern of ""cathedral"" grain in wood?",5,Wood,Grain,"Cathedral grain is only found in softwoods, like pine","Cathedral grain is characterized by a swirling, irregular pattern with no symmetry",Cathedral grain appears as a series of vertical straight lines across the wood surface,"Cathedral grain features a curved, arch-like pattern often seen in the face grain of hardwoods like oak","Cathedral grain features a curved, arch-like pattern often seen in the face grain of hardwoods like oak"
"Why does walnut wood have a deep, dark grain pattern?",3,Wood,Grain,Walnut wood has an oily texture that makes the grain darker,Walnut wood grain darkens due to the presence of a high amount of resin,"Walnut wood grain is naturally light and pale, requiring staining to achieve its darker appearance.","Walnut wood has a high level of tannin, which darkens as it reacts with air over time, giving it a rich, dark grain","Walnut wood has a high level of tannin, which darkens as it reacts with air over time, giving it a rich, dark grain"
Which softwood is commonly used for making paper?,2,Wood,Softwood,Oak,Cherry,Spruce,Pine,Pine
Which softwood species is often used in construction for framing due to its strength and availability?,3,Wood,Softwood,Bamboo ,Beech,Ash,Douglas fir ,Douglas fir 
"I have a log cabin that is 3m x 5m, how many m2 do I have for all four walls?",1,General K,Measurements,15,10,17,I don’t know,I don’t know
What is the primary difference between hardwoods and softwoods?,1,Wood,Hardwood,Hardwoods are always lighter than softwoods,"Hardwoods have straight, simple grain patterns, while softwoods have more complex patterns",Hardwoods are always softer than softwoods,"Hardwoods come from deciduous trees, while softwoods come from coniferous trees.","Hardwoods come from deciduous trees, while softwoods come from coniferous trees."
"Which hardwood is known for its distinctive dark color and resistance to rot, often used for boat building?",3,Wood,Hardwood,Maple,Ash,Pine,Mahogany ,Mahogany 
Which hardwood species is commonly used for high-quality flooring due to its durability and attractive appearance?,2,Wood,Hardwood,Pine,Poplar,Cedar,Oak,Oak
How can UV rays affect the lignin in wood?,2,Wood,UV,UV rays turn the lignin in wood into a natural preservative that prevents decay,UV rays make the lignin in wood more resistant to pests,"UV rays enhance the lignin, making the wood stronger and more resilient","UV rays break down lignin, causing the wood to become more brittle and prone to damage","UV rays break down lignin, causing the wood to become more brittle and prone to damage"
Woca Soap is primarily used for?,2,Brand,Woca,Sealing the wood surface,Preventing water damage,Adding colour to the wood,Cleaning wood surfaces without damaging the finish,Cleaning wood surfaces without damaging the finish
Which colour is typically associated with energy and excitement in interior design?,2,Colour,Mood,Green,Purple,Blue,Yellow,Yellow
Which of these is a recommended application tool for Osmo finishes?,1,Brand,Osmo,Electric sander,Pressure washer,Microfibre mop,Brush or cloth,Brush or cloth
Which of the following is NOT a characteristic of Osmo Wood Finishes?,2,Brand,Osmo,High durability,Water resistant ,Easy to repair,High build product,High build product
Which of these finishes is best for protecting outdoor furniture from water and UV damage?,4,Brand,Osmo,Osmo UV protection oil extra in clear 420,Osmo polyx oil tints in Terra,Osmo decking oil clear 007,Osmo natural oil woodstain in Oak ,Osmo natural oil woodstain in Oak 
Which of the following is NOT a feature of Osmo’s Country Colour?,2,Brand ,Osmo,"It is an opaque, pigmented wood finish designed for outdoor use",It provides a protective finish for garden furniture and wooden fences,It offers long-term UV protection against color fading,It allows the natural grain of the wood to show through,It allows the natural grain of the wood to show through
What is a key feature of Zinsser’s Perma-White finish?,3,Brand ,Zinsser ,It is designed for outdoor use and provides UV protection,It is a high-gloss finish designed for interior furniture,It is a water-based varnish for wood decking,"It has a mould- and mildew-resistant finish, ideal for bathrooms and kitchens","It has a mould- and mildew-resistant finish, ideal for bathrooms and kitchens"
Cuprinol’s Anti-Slip Decking Treatment is specifically designed to improve safety on decking. How does this product provide anti-slip protection?,2,Brand,Cuprinol,By adding rubber granules to the surface of the wood,"By creating a clear, slick film that helps maintain the deck’s appearance",By creating a chemical bond with the wood that prevents slippage in wet conditions,By increasing the friction of the decking surface with a rough texture,By increasing the friction of the decking surface with a rough texture
What is the main benefit of using wood glue (PVA) for wood bonding?,2,Product type,Adhesive,It bonds wood to metal,It forms a waterproof bond,It dries extremely fast,It’s easy to sand and paint over,It’s easy to sand and paint over
Which of the following adhesives would be the best for bonding wood in wet or submerged conditions?,4,Product type,Adhesive,Superglue,Hot glue,PVA glue,Polyurethane glue,Polyurethane glue
What issue can arise if you paint over a surface that is not completely dry?,1,Product type,Paint,The paint will dry faster,The colour will become more vibrant,The paint will be easier to sand,The paint may wrinkle or crack,The paint may wrinkle or crack
Why does paint fade over time when exposed to sunlight?,2,Product type,Paint,The paint dries too quickly,The surface becomes too smooth,The paint absorbs too much moisture,UV rays break down the pigments in the paint,UV rays break down the pigments in the paint
What could cause streaks in freshly painted surfaces?,1,Product type,Paint,Using a paint with low viscosity,Applying paint too slowly in small sections,Applying multiple thin coats of paint,Using a dry or dirty paintbrush or roller,Using a dry or dirty paintbrush or roller
What can cause a painted surface to become sticky after drying?,2,Product type,Paint,Painting in extremely dry conditions,Using a paint with a high gloss finish,Cleaning the surface before painting with a solvent,Applying paint too thickly or too quickly,Applying paint too thickly or too quickly
"Which of the following oils is considered a ""drying oil,"" meaning it undergoes a chemical reaction with oxygen and hardens over time, making it suitable for protective finishes?",4,Product type,Oil,Danish oil ,Jojoba oil ,"Linseed oil, which enriches and protects the wood from within",Tung oil ,Tung oil 
What is the main purpose of using pressure treatment in wood preservation?,2,Product ,Preserver,To make the wood more flexible,To improve the wood's scent,To enhance the wood's natural colour,To force the preservative deep into the wood fibers,To force the preservative deep into the wood fibers
How long do you need to let Cuprinol garden shades dry before overcoating?,3,Brand,Cuprinol ,2 to 3 hours,After 6 hours,1 - 2 hours,2 - 4 hours,2 - 4 hours
What makes Farrow & Ball paints more eco-friendly than many other paints?,2,Brand,Farrow and ball,They use animal products to create their colours,They are made from entirely synthetic materials,They contain no pigments,They use water-based solvents instead of oil-based ones,They use water-based solvents instead of oil-based ones
Cherry wood is known for which of the following color characteristics?,1,Wood,Colour,Yellowish white,Light gray with a dark grain,Very dark brown,Deep red that darkens with age,Deep red that darkens with age
What is Sikkens primarily known for?,1,Brand ,Sikkens,Offering food-grade coatings,Providing adhesives for furniture,Specializing in auto body paints,Manufacturing wood finishes and coatings,Manufacturing wood finishes and coatings
"Which Sadolin product is specifically designed for exterior wood, offering protection against both water and UV rays?",2,Brand ,Sadolin ,Sadolin PV67 ,Sadolin quick dry wood preserver,Sadolin wood filler,Sadolin classic wood protection ,Sadolin classic wood protection 
What product would you apply over the sadolin classic on external windows for more protection without changing colour? ,4,Brand ,Sadolin ,Sadolin superdec ,Sadolin PV67 Heavy duty varnish,Sadolin extra durable woodstain,Sadolin extra durable clearcoat,Sadolin extra durable clearcoat
How does the grey appearance of denatured wood affect its maintenance?,2,Wood,,The grey appearance means the wood never needs to be treated or sealed again,The grey appearance requires frequent sanding to maintain the colour,The grey appearance indicates the wood is permanently damaged and cannot be restored.,"The grey appearance is a result of weathering, and while it requires minimal maintenance, it can be protected with a clear sealer for extended durability","The grey appearance is a result of weathering, and while it requires minimal maintenance, it can be protected with a clear sealer for extended durability"
Earthborn’s paints are typically classified as having low or zero VOC content. What is the benefit of low VOC paints?,1,Brand ,Earthborn,They dry faster than traditional paints,They are more durable and long-lasting,They provide a high-gloss finish,"They emit fewer harmful chemicals into the air, making them safer for indoor use","They emit fewer harmful chemicals into the air, making them safer for indoor use"
"What is the primary advantage of using Earthborn’s ""Furniture Paint"" compared to other high-coverage paints for furniture?",3,Brand,Earthborn ,It provides a matte finish that resists fingerprints but is easily washable,It requires multiple coats for full coverage and durability,It has a quick-drying formula but requires frequent touch-ups,"It has a smooth, durable finish ideal for frequent use and cleaning","It has a smooth, durable finish ideal for frequent use and cleaning"
What is a live edge?,3,General K,,A woodworking technique that involves adding a layer of paint to the edges of a piece of furniture,A method of carving intricate designs along the edges of wood for decorative purposes,"A type of woodcutting where the edges are precisely squared for a sleek, modern look","A type of wood finish where the natural edge of the tree, including its curves and imperfections, is left intact on the wood surface","A type of wood finish where the natural edge of the tree, including its curves and imperfections, is left intact on the wood surface"
What is a soffit? ,3,General K,,"A type of flooring material used for creating smooth, shiny surfaces on walls",A term for the central support beam in a staircase structure,A type of decorative molding used on the corners of walls and ceilings.,"The underside of a roof overhang, often ventilated to allow airflow and prevent moisture buildup","The underside of a roof overhang, often ventilated to allow airflow and prevent moisture buildup"
What is the main function of titanium dioxide in paint?,3,General K,,To speed up the drying time of the paint,To improve the adhesion of paint to non-porous surfaces,To enhance the flexibility of the paint film,To provide opacity and whiteness by scattering light,To provide opacity and whiteness by scattering light
What can be added to Osmo interior wood filler to improve its texture and workability?,2,Brand,Osmo,Meths,Cellulose ,White spirit,Water,Water
"What is the primary purpose of using a ""flat"" or ""matte"" finish in paints?",2,Product type,Paint,To increase the paint's resistance to stains,To provide a shiny appearance,To improve the durability of the paint,To hide surface imperfections,To hide surface imperfections
What is the potential health risk of inhaling fumes from white spirit over long periods?,1,General K ,W spirit,It can cure respiratory infections,It stops cognitive abilities forever,It can improve lung function,It can cause liver and kidney damage,It can cause liver and kidney damage
What is PeelAway primarily used for?,1,Brand ,Peelaway,To seal cracks in walls,To polish wood,To clean windows,To remove paint from surfaces,To remove paint from surfaces
What is an important safety precaution when using PeelAway?,3,Brand,Peelaway,Only use it outdoors to avoid fumes indoors,Use it without any protective equipment,Apply the product with bare hands for better accuracy,Wear gloves and work in a well-ventilated area,Wear gloves and work in a well-ventilated area
What oil here would be the best for a teak worktop? ,3,General K,Scenario,Osmo polyx oil ,Rustins danish oil,Osmo top oil,Fiddes hard wax oil ,Fiddes hard wax oil 
Which Ronseal product is used to restore the appearance of faded garden furniture?,2,Brand,Ronseal,Ronseal chalky furniture paint,Ronseal decking cleaner and reviver,Ronseal Fence Life,Ronseal Garden Furniture Restorer,Ronseal Garden Furniture Restorer
"Zinsser ""1-2-3"" primer can be used on surfaces such as concrete. What unique property allows it to adhere to these types of surfaces?",4,Brand,Zinsser,It is water-based,It uses an epoxy resin for strong bonding to porous areas,It contains a latex binder for flexible adhesion,It features a special bonding agent for porous surfaces,It features a special bonding agent for porous surfaces
"Zinsser ""Bullseye 1-2-3"" is a versatile primer. What is the maximum recommended VOC content for this product in accordance with U.S. EPA regulations for low-VOC formulations?",5,Brand,Zinsser,200 grams per L,450  grams per L,350 grams per L,250 grams per L,250 grams per L
What does MDF stand for?,2,Wood,Engineered,Magnetic Density Fiberboard,Multi-Density Fiberboard,Modified Density Fiberboard,Medium Density Fiberboard,Medium Density Fiberboard
"What is the primary advantage of using plywood with a ""veneered"" surface as opposed to plain plywood?",2,Wood,Enginereed,Veneered plywood is more resistant to fire and water damage,Veneered plywood has a more durable core structure,Veneered plywood is lighter and more flexible,Veneered plywood is easier to stain evenly compared to plain plywood,Veneered plywood is easier to stain evenly compared to plain plywood
What is the main material used to produce OSB?,1,Wood,Enginereed,Recycled plastic,Solid wood planks,Compressed cardboard,"Wood strands, resin, and wax","Wood strands, resin, and wax"
What is a key factor in the production of OSB that contributes to its strength and performance?,2,Wood,Enginereed,The coating of the material with a waterproof finish,The application of pressure during the cutting process,The use of solid wood as the base material,The alignment of the wood strands in a specific orientation,The alignment of the wood strands in a specific orientation
What is the typical drying time for Protek wood finishes?,2,Brand,Protek,24-48 hours,5-10 minutes,1-2 weeks,2-4 hours,2-4 hours
Which of the following statements about Protek's wood finishes and UV protection is correct?,3,Brand,Protek,"Protek’s finishes provide full protection against UV rays, but they do not prevent discoloration of the wood over time",Protek’s finishes use a chemical barrier that blocks UV rays completely and prevents any fading,"Protek’s finishes cannot protect against UV damage, but they protect against moisture and physical wear",Protek’s finishes include UV absorbers that protect the wood from damage while allowing natural wood aging without discoloration,Protek’s finishes include UV absorbers that protect the wood from damage while allowing natural wood aging without discoloration
What is a major advantage of using bamboo as a building material compared to traditional hardwoods?,1,Wood,Bamboo,Bamboo is slower to grow and harder to harvest,Bamboo is much more expensive than traditional hardwoods,Bamboo is less durable than most hardwood,Bamboo grows quickly and is a renewable resource,Bamboo grows quickly and is a renewable resource
Which of the following is a challenge when using bamboo for construction or wood products?,2,Wood,Bamboo,Bamboo does not provide good insulation,Bamboo is difficult to source in many regions,"Bamboo has very high moisture retention, leading to warping",Bamboo requires chemical treatment to prevent termite damage,Bamboo requires chemical treatment to prevent termite damage
What is Repair Care commonly used for?,1,Wood,Repaircare,Creating new furniture,Repairing and restoring damaged wood,Building wooden structures,Repairing and restoring damaged wood,Repairing and restoring damaged wood
"In terms of wood repairs, why is it essential to use Repair Care's wood primer before applying the repair filler?",3,Wood,Repaircare,To clean the wood and remove dust,To create a smooth surface for easier application,To speed up the curing time of the filler,To ensure the repair filler adheres properly to the wood,To ensure the repair filler adheres properly to the wood
How does cedar wood perform in terms of weight compared to other hardwoods?,4,Wood,Cedar,Cedar is as heavy as mahogany,Cedar has the same weight as oak,Cedar is heavier than most hardwoods,Cedar is relatively lightweight,Cedar is relatively lightweight
What type of wood is pine?,1,Wood,Softwood,Engineered wood,Exotic wood,Hardwood ,Softwood,Softwood
Which environmental condition is pine wood particularly sensitive to?,2,Wood,Softwood,"Dry, arid conditions",Direct sunlight for long periods,Extreme heat,"Moisture, as it can warp and rot if exposed to excessive moisture over time","Moisture, as it can warp and rot if exposed to excessive moisture over time"
What is a primary characteristic of iroko wood?,2,Wood,Hardwood,It has a reddish hue,It is naturally blue in colour,It has a very pale white colour,It has a yellow to golden-brown color that darkens with age,It has a yellow to golden-brown color that darkens with age
How does iroko wood perform in terms of sustainability?,4,Wood,Hardwood,It is only available from illegal logging operations,It is unsustainable and widely overharvested,It is considered endangered and should not be used,"It is considered a sustainable wood, but its availability depends on responsible forestry practices","It is considered a sustainable wood, but its availability depends on responsible forestry practices"
"Iroko is sometimes referred to as ""African teak."" What is one reason this nickname is used?",5,Wood,Hardwood,Iroko trees are found in the same regions as teak trees,Iroko is as rare and expensive as true teak,Iroko is chemically identical to teak,"Iroko shares similar physical properties with teak, such as durability and resistance to decay","Iroko shares similar physical properties with teak, such as durability and resistance to decay"
Where is idigbo wood commonly found?,2,Wood,Hardwood,North America,Southeast Asia,South America,West Africa,West Africa
Which of the following is a challenge when using idigbo wood in outdoor applications?,2,Wood,Hardwood,Idigbo requires no finishing or treatment to be durable outdoors,"Idigbo has a high tolerance to saltwater, making it suitable for marine environments",Idigbo is naturally resistant to UV rays and extreme weather,"It is not as durable as some other hardwoods, and may require regular maintenance and treatment to withstand the elements","It is not as durable as some other hardwoods, and may require regular maintenance and treatment to withstand the elements"
How can raised grain be prevented when finishing wood?,4,Wood,Grain,By using coarse sandpaper to remove the raised fibers,By using a heat gun to dry the wood faster,By applying a thick layer of finish to seal the surface quickly,By lightly sanding the wood after applying a wet coat and before the finish fully dries,By lightly sanding the wood after applying a wet coat and before the finish fully dries
What is the typical solution for addressing raised grain after sanding wood?,4,Wood,Grain,Using steel wool to buff the surface before finishing,Scraping the raised grain with a sharp chisel to smooth the surface,Applying a thick coat of finish without any additional sanding,Lightly sanding the wood again after applying a coat of water or finish to smooth out the lifted fibers,Lightly sanding the wood again after applying a coat of water or finish to smooth out the lifted fibers
