question,level,category,product,option a,option b ,option c,option d,correct answer
What is the typical process for applying wood veneer to a plywood surface?,4,Wood,Engineered,Lay the veneer adjacently on top of the plywood,"Cut to size, apply adhesive and use clamps to press the veneer on",Collect wood fibres and press them together using a heat machine,Wood strands that are bonded and then stuck on a subcore,B
Why is it recommended to use the Repair care DRY FIX before filling?,4,Brand,Repaircare,Makes the surface soft and pliable,Penetrates and strenghtens the wood fibres,Colours the surface to make it look more realistic,Stops the wood breathing so it can be painted,B
What can cause efflorescence on masonry? ,4,General K,Masonry,Excess moisture,Salts crystalising,Water ingress,Masonry dried out,B
What radio of lacquer to catalyst for Bona traffic HD? ,4,Brand,Bona,8 to 2 ,9 to 1,10 to 1,7 to 3,B
Why is the neutraliser used in Peelaway 1?,4,Paint remover,other,Reduce moisture ingress,Reduce PH level ,Reduce UV oxidation,Reduce risk of efflorescence ,B
"How does Osmo's wood protector differ in its effect on wood compared to other wood preservatives, particulary in terms of its interaction with moisture?",4,Brand,Preserver,Wood protector uses a high pigment formula to block UV rays - while other preservatives primarily focus on repelling water ,It creates a water repellant surface layer - which prevents the wood from absorbing water but allows the wood to breate ,It forms a solid film that completely blocks moisture absorbtion - leading to a higher risk of fungal under a finish,Wood protector releases oils into the wood making it water proof ,B
What chemical process is responsible for the curing of Osmo polyx oil finishes? ,4,Brand ,Osmo,Evaporation of solvents,Oxidative polymerization (Oxidation),Heat induced cross linking,UV Curing,B
What is fisheyeing in varnishes?,4,Product type,Varnish,"Fisheying occurs when the coating forms smooth, uniform layers without any interruptions or defects.","Fisheying is a phenomenon where the coating develops small, circular craters or holes due to contamination on the surface.","Fisheying is a result of the paint drying too slowly, causing it to form bubbles on the surface.","Fisheying happens when the coating forms excessive gloss, causing an uneven sheen on the surface.",B
How to sort out fisheyeing on varnishes?,4,Product type,Varnish,Apply a thick layer of the coating to fill the craters and smooth out the surface.,"Ensure the surface is properly cleaned and free of contaminants (such as oils, silicone, or grease) before applying the coating."," Use a high-gloss finish, which will prevent fisheyeing from occurring in the future.","Wait for the coating to fully dry before sanding down the affected areas, as this will eliminate fisheyes.",B
What is sandblasting? ,4,Preparation ,Sanding,Sandblasting is a method used to apply a smooth  glossy finish to metal surfaces by spraying fine sand particles with high pressure.,Sandblasting is a process where fine sand is used to clean or etch the surface of a material by propelling it at high velocity.,Sandblasting is a technique used to polish wood surfaces to make them shinier by rubbing them with fine-grit sandpaper.,Sandblasting is a painting technique where sand is mixed with paint and sprayed onto a surface to create textured designs.,B
What is the primary reason for using shellac in French polishing?,4,Product type,Polish,"Shellac is used because it makes the wood more resistant to water damage: While shellac does offer some moisture resistance, its main function in French polishing is to create a glossy finish, not to provide significant water protection.",Shellac is the primary resin used in French polishing because it forms a smooth  durable and high-gloss finish that enhances the natural beauty of wood. It also dries quickly and can be built up in thin layers - which is essential for the French polishing technique.,"Shellac is used because it gives the wood a matte finish: French polishing with shellac typically creates a glossy or satin finish, not a matte one. Matte finishes are achieved with different techniques or products.","Shellac is used because it enhances the wood’s color, making it darker: Shellac enhances the natural appearance of the wood but does not significantly alter its color. The wood's tone is more influenced by the type of wood and any stains used beforehand.",B
What is the difference between sapwood and heartwood colour? ,4,Wood,Colour,Sapwood is dark and red and heartwood is light yellow or white ,"Heartwood is dark brown to red, sapwood is light yellow or white",They are both the same ,"Sapwood is mahogany colour once wet, and heartwood is pale when wet",B
Why are diisocyanates used in wood finishing products such as adhesives and coatings?,4,General K,Chemicals,"They provide a glossy, reflective finish that enhances the appearance of the wood","They react with moisture in wood to create a flexible, durable bond that helps to prevent wood movement.","They act as a preservative, preventing the wood from being damaged by pests and rot.",They create a fire-resistant coating that protects the wood from heat damage,B
"How does the use of deep, rich colours like navy blue or charcoat grey in a room affect the mood and ambiance of the space? ",4,Colour,Mood,"Deep, rich colours increase energy and make the space feel larger and more open","Deep, rich colours create a cozy, intimate atmosphere","Deep, rich colours are best for stimulating creativity and mental alertness",Deep colours work best in rooms that need to appear brghter and airier ,B
What does this EN 71-3 rating stand for?,5,General K,Rating,It refers to the European safety standard for flammability of toys made from wood and other materials.,"It refers to the European safety standard for chemical migration in toys, specifically the safety of materials that may come into contact with children, such as paints, varnishes, and other coatings.","It refers to the European standard for sound levels produced by toys, ensuring that they are not too loud to cause hearing damage.","It refers to the European standard for mechanical strength and the durability of toys, ensuring that they don’t break into dangerous parts.",B
"How does the presence of extractives in wood affect its behavior during wood finishing, and what impact do they have on staining and paint adhesion?",5,Wood,othre,"Extractives improve the adhesion of paint and stain by providing a smooth, consistent surface.","Extractives, like resins and tannins, can cause uneven staining and poor paint adhesion, leading to blotchiness or peeling",Extractives always make the wood easier to stain and paint by acting as a natural primer,Extractives make the wood more resistant to water-based finishes but have no effect on oil-based finishes.,B
Zinsser’s BIN Shellac-Based Primer is known for its excellent stain-blocking properties. What specific chemical property allows it to block stubborn stains like tannin and nicotine?,5,Brand,Zinsser,Its wax-based formula that adheres tightly to porous surfaces,"Its shellac resin, which forms a chemical barrier against oils and pigments"," Its high levels of volatile organic compounds (VOCs), which seal in stains","Its high pH, which neutralizes acidic stains",B
What is Shou sugi ban ? ,5,General K,other,A traditional Japanese method of painting wood,A technique for preserving wood by charring its surface,A type of wood used for flooring,A special type of lacquer finish,B
Shou Sugi Ban originated in which country?,5,General K,other,China,Japan,Korea,Thailand,B
"What is the primary psychological effect of using dark green paint in a room, especially when paired with wooden accents?",5,Colour ,Mood,It evokes feelings of wealth and sophistication,"It creates a mood of nature, stability, and grounding",It makes people feel anxious and restless,It encourages creativity and focus,B
What is the primary disadvantage of using a nitrocellulose varnish compared to other varnish types like polyurethane?,5,Product type,Varnish ,It requires multiple coats and takes longer to cure,It is more prone to cracking and yellowing over time,It is less durable and is only suitable for interior use,It is not compatible with oil-based paints,B
Sadolin’s “Sadolin Extra Durable” product offers a specific benefit for wood exposed to harsh environments. What is this feature?,5,Brand ,other,"It provides a smooth, high-gloss finish that resists all types of stains",It contains advanced resins that provide extreme durability and protection,It is only available in a matt finish for subtle wood tones,It requires multiple layers of application to reach full effectiveness,B
What is an extender? ,5,General K,other,Extends the drying time of a product,Fills out and extends a pigments capability,Extends the curing time of a product,Extends the open time of a producr,B
Which of the following properties of titanium dioxide contributes to its effectiveness as a white pigment in paints?,5,General K,other,Its ability to absorb ultraviolet light and convert it into heat,"Its high refractive index, which increases opacity","Its transparent nature, which allows the underlying surface to show through","Its high solubility in water, improving paint spreadability",B
What is the correct thinners for Morrells 440 acid cat lacquer?,5,Brand ,Morrells,Morrells equipment cleaner,Morrells hydrocarbon free thinners,Morrells cellulose thinners,Osmo brush cleaner ands thinner ,B
Which of the following is a key feature of Osmo polyx oil in terms of its effect on wood surfaces?,2,Brand,Osmo,"It forms a hard, film like surface that prevents the wood from breathing ","It penetrates the wood, enhancing its natural beauty while allowing wood to breathe",It completely blocks water absorbtion making the wood waterproof,It creates a thick coating that prevents all the signs of aging wood,B
Which of the following is NOT a recommended method to ensure a smooth application of Osmo finishes on a wood surface? ,2,Brand,Osmo,Sanding between coats for an even finish,Applying the finish in thick layers to reduce the number of coats,Cleaning the surface of any dust or debris before application,Using a soft cloth or brush to apply the product evenly,B
What is the primary function of Cuprinol Garden Shades?,1,Brand,Cuprinol,To provide a highly durable gloss finish that resists moisture,"To protect and add colour to outdoor wood, metal and masonry surfaces ",To offer an anti slip surface for wooden decking exposed to high foot traffic,To provide a transparent protective finish that enhances the natural grain of the wood,B
Dulux Trade Floor Paint is designed for high-traffic areas. What makes this product especially suitable for floors in warehouses or garages?,3,Brand,Dulux,It offers a highly decorative finish that is more suited to interior walls than floors.," It is formulated to resist impact, abrasion, and chemicals, providing a tough and durable finish for high-traffic areas.","It is a gloss finish that reflects light, making it ideal for low-light environments.",It is designed for use in exterior areas and will quickly degrade when used indoors.,B
What is the primary direction of wood grain in a tree trunk?,4,Wood,Grain,The wood grain runs horizontally from the tree's base to the crown.,"The wood grain runs parallel to the tree's growth rings, extending vertically from the roots to the canopy",The wood grain spirals in a corkscrew pattern around the tree trunk.,The wood grain follows the direction of the tree's branches,B
"How does ""flat-sawn"" wood grain differ from ""quarter-sawn""?",5,Wood,Grain,"Flat-sawn wood is cut perpendicularly to the growth rings and shows a finer, denser grain","Flat-sawn wood is cut parallel to the growth rings, resulting in a more pronounced, wider grain pattern, whereas quarter-sawn wood produces a straighter, more uniform grain.","Flat-sawn wood is typically used for more expensive woods, whereas quarter-sawn wood is cheaper","Quarter-sawn wood displays a chaotic, uneven grain pattern compared to flat-sawn wood",B
What is the primary difference between softwoods and hardwoods?,1,Wood ,Softwood,Softwoods are harder and stronger than hardwoods,"Softwoods come from coniferous trees, while hardwoods come from deciduous trees",Softwoods are denser than hardwoods.,Hardwoods are faster-growing trees than softwoods,B
Which softwood is known for its high resistance to decay and is often used for outdoor furniture?,2,Wood,Softwood,Cherry,Cedar,Pine,Oak,B
What is a major benefit of using softwood in furniture production?,2,Wood,Softwood,Softwood is more expensive than hardwood,"Softwood is relatively lightweight and easy to work with, making it ideal for many furniture projects",Softwood has superior durability and strength compared to hardwood,"Softwood produces a finer, smoother finish than hardwood",B
What is the most notable feature of cherry wood?,2,Wood,Hardwood,Cherry wood has a very pale color and doesn’t change,"Cherry wood darkens over time, developing a rich, reddish-brown color",Cherry wood is known for its intense grain patterns and dark streaks,Cherry wood is one of the lightest and least durable hardwoods,B
What is the primary use of teak wood?,2,Wood,Hardwood,Teak is primarily used for making musical instruments,Teak is commonly used for outdoor furniture due to its weather resistance,"Teak is a very soft wood, often used in construction","Teak is used for making cheap, mass-produced furniture",B
What makes oak wood particularly suitable for making wine barrels?,4,Wood,Hardwood,Oak is resistant to absorbing liquids and is used only for the exterior of barrels,"Oak wood has a strong, open grain that allows for the absorption of flavors, making it ideal for aging wine",Oak is too dense for wine barrels and is only used in construction,Oak does not interact with wine and is chosen for aesthetic reasons only,B
Which hardwood is the most commonly used for gunstocks?,4,Wood,Hardwood,Pine,Walnut,Ash,Cherry ,B
What is one way to prevent UV degradation in outdoor wood products?,1,Wood,UV,Using untreated wood will prevent UV degradation,Applying a UV-resistant finish or using a product that contains pigment,Exposing the wood to direct sunlight will strengthen it against UV damage,Staining the wood with oil-based finishes will make it immune to UV degradation,B
Which grit number is the coarsest sandpaper?,1,Preparation ,Sanding,100,40,60,80,B
What is the main disadvantage of using steel wool as an abrasive compared to sandpaper?,2,Preparation,Sanding ,It is too coarse for most woodworking tasks,It can leave small metal fibers embedded in the surface,It is not suitable for use on metal surfaces,It can clog quickly when used on wet surfaces,B
Which Osmo product is designed specifically for outdoor wood surfaces?,2,Brand,Osmo,Osmo Polyx-Oil,Osmo UV-Protection Oil 420,Osmo Wood Wax Finish,Osmo UV Protection Oil 410,B
What is the drying time for clear Osmo Polyx-Oil between coats?,3,Brand ,Osmo,1-2 hours,6-8 hours,24 hours,30 minutes,B
What is the primary difference between Osmo Polyx-Oil and Osmo Top Oil?,2,Brand ,Osmo,"Polyx-Oil is for outdoor use, and Top Oil is for interior wood","Polyx-Oil is designed for floors, and Top Oil is for furniture and worktops","Polyx-Oil provides only a glossy finish, while Top Oil has a matt finish","Polyx-Oil contains no VOCs, while Top Oil does",B
Which Zinsser product is NOT aimed at stain blocking?,5,Brand ,Zinsser,Zinsser Cover stain,Zinsser Gardz,Zinsser BIN,Zinsser Bulls EYE 123,B
Cuprinol’s Garden Shades is water-based. What is one of the main advantages of using a water-based wood finish like this?,1,Brand,Cuprinol,It provides a glossy finish that is better suited for high-traffic areas,It dries faster and has a low odor compared to oil-based finishes,"It penetrates deeper into the wood grain, providing long-lasting protection",It creates a thicker coating that resists wear and tear better than oil-based finishes,B
Which of the following is a common wood adhesive used for basic woodworking projects?,3,Product type,Adhesive,Superglue,PVA (Polyvinyl acetate) glue,Epoxy resin,Contact cement,B
What is the primary characteristic of polyurethane wood glue?,3,Product type,Adhesive,It sets quickly without needing any clamping,It is waterproof and expands as it cures,It works only on softwoods,It is ideal for bonding metal to metal,B
What causes paint to crack as it dries?,2,Product type,Paint,Painting in wet conditions,Applying paint too thickly,Using a high-quality paint,Mixing different types of paints,B
What happens if you apply paint to a surface with too much moisture?,3,Product type,Paint,The paint will dry faster,The paint may peel or blister,The paint will not change color,The paint will adhere better,B
What happens if you use incompatible primer and paint?,1,Product type,Paint,The paint will dry faster than expected,The paint will adhere poorly and may peel or blister,The colour of the paint will appear more vibrant,The primer will prevent the paint from drying completely,B
What is the main issue that occurs if you apply paint in very cold conditions?,1,Product type,Paint,The paint will develop a glossy finish,The paint may not adhere properly and could crack or peel,The colour will become lighter than expected,The paint will dry too quickly,B
Why are pre-catalyzed lacquers preferred in commercial applications over regular lacquers?,3,Product ,Varnish ,"They have a stronger odor than regular lacquers, making them more suitable for outdoor use",They dry faster and provide a more durable finish without the need for mixing additional chemicals,They are more cost-effective and require fewer coats to achieve a smooth finish,They are easier to apply and don't require sanding between coats,B
Which of the following is a common indicator that wood has been pressure-treated?,2,Product,Preserver,"The wood has a smooth, glossy surface",The wood has a greenish tint,The wood smells like vanilla,The wood is very light and fragile,B
What is Farrow & Ball most known for?,1,Brand,Farrow and ball,Providing the cheapest paints,Specializing in eco-friendly paints with rich colours,Creating only metallic paints,Selling paint exclusively in the U K ,B
"Farrow & Ball’s ""Modern Emulsion"" paint is designed for use in which areas of the home?",4,Brand,Farrow and ball,"Kitchens, doors, floors and ceilings",High-traffic areas like kitchens and bathrooms,For ceilings only,Furniture and walls ,B
"Which of the following woods is typically light in colour, often described as pale yellow or beige?",1,Wood,Colour,Mahogany,Pine,Black walnut,Iroko,B
What is the primary color of maple wood before staining?,1,Wood,Colour,Red with dark streaks,Light tan to pale yellow,Deep brown,White with streaks of black,B
What type of product is Sadolin Superdec?,1,Brand ,Sadolin ,Semi translucent product for external furniture,Opaque product for exterior joinery,Wall paint for ceiling and walls,A opaque decking paint ,B
"What is a key difference between Sadolin ""Sadolin Polyurethane Varnish"" and ""Sadolin Classic Woodstain""?",3,Brand,Sadolin ,Polyurethane varnish can be used on flooring while Classic Woodstain cannot,"Polyurethane Varnish is used for clear finishes, whereas Classic Woodstain provides a colored, translucent finish","Polyurethane Varnish is for interior use only, while Classic Woodstain is exclusively for outdoor use","Polyurethane Varnish is applied by spraying, while Classic Woodstain must be brushed only",B
How does denatured wood compare to treated wood in terms of durability?,3,Wood,other, Denatured wood lasts longer than treated wood because it does not require any maintenance,Denatured wood is typically less durable and requires additional protection against weathering,Denatured wood is more durable than treated wood because it is chemically resistant,Denatured wood is not suitable for outdoor use as it deteriorates faster than treated wood,B
"What is the primary benefit of using Earthborn ""Eggshell"" finishes?",2,Brand ,Earthborn,"It offers a high-gloss, reflective sheen and is wipeable","It provides a durable, washable surface with a semi-matt finish",It is suitable only for exterior surfaces,It is a one-coat paint rather than 2 ,B
"What is the main reason Earthborn Claypaint is particularly suitable for use in areas with high humidity, like kitchens and bathrooms?",4,Brand ,Earthborn,It is highly resistant to water and will not peel off in damp conditions,"Its breathable nature helps prevent moisture build-up, reducing mold growth", It contains biocides to help against mould growth ,It has a high-gloss finish that prevents any moisture absorption,B
What causes foaming?,4,General K,other,Absence of Surfactants,Air Entrapment,Low Temperature,Presence of Oils,B
What percentage of sheen should a high gloss have?,2,General K,Sheen,70%,90%,40%,100%,B
What is pointing? ,4,General K,other,A type of flooring installation where tiles are arranged in specific patterns.,The process of filling the joints between bricks or stones with mortar to provide stability,A method of applying paint to specific areas of a surface for accentuating details,A type of flooring installation where tiles are arranged in specific patterns,B
What is a wet edge? ,2,General K,other,The outermost layer of a painted surface that dries faster than the rest,"The area of paint that remains wet and workable during application, which should be maintained to avoid visible lines or streaks.",The line where two different colors of paint meet on a surface,The area where a second coat of paint is applied after the first layer has fully dried,B
What should you do if wood filler is not adhering properly to the wood surface?,3,Product type,Filler,Apply a coat of paint over the filler,Sand the surface to create a better bonding surface,Use a different type of filler,Soak the wood with water,B
"In the context of paints, what does the term ""volatile organic compounds"" (VOC) refer to?",1,Product type,Paint,Solvents that increase the longevity of the paint,Chemical compounds that evaporate into the air and contribute to air pollution,Additives that help paint dry faster,Pigments used to enhance the color depth of the paint,B
Which of these wood finishes is a Polyvine product?,2,Brand ,Polyvine,Extra tough varnish,Multi surface lacquer,Traffic HD,Clear glaze ,B
"When applying Polyvine’s wood finishes to surfaces that have previously been treated with an oil-based product, what is the correct preparation procedure to ensure proper adhesion of the new finish?",3,Brand ,Polyvine,Simply apply the new finish over the oil-based treatment without sanding or cleaning,Sand the surface thoroughly and wipe over with meths,"Apply a light coat of water-based finish first, then apply the oil-based product",Clean the surface with solvent-based cleaners and allow the wood to dry completely before applying the new finish,B
Which of the following is a safety precaution when using white spirit?,1,General K,W spirit,Use white spirit near an open flame for faster evaporation,Always use white spirit in a well-ventilated area,Mix white spirit with water to dilute its fumes,Apply white spirit directly to the skin for cleaning,B
What is white spirit primarily used for?,1,General K,W spirit,As a food preservative,As a cleaning solvent,As a cooking oil,As a fuel for cars,B
Which of the following is a key benefit of using PeelAway compared to traditional paint removers?,2,Brand ,Peelaway,It works faster than sandpaper,It can remove multiple layers of paint in one application,It only works on new paint,It doesn’t require ventilation during use,B
"If someone wanted a decking oil that did let the wood silver naturally, what one would you recommend? ",4,General K,Scenario,Barrettine decking oil ,Osmo decking oil 007,Manns premier UV decking oil ,Liberon superior decking oil ,B
"If someone had Fiddes hard wax oil tints and wanted to make it lighter, what could they add? ",3,General K,Scenario,Meths,Fiddes hard wax oil clear,Water,Fiddes hard wax oil tints walnut,B
"What is the key feature of Ronseal's ""Decking Rescue"" product?",2,Brand ,Ronseal ,It adds a glossy finish to decking,It fills and restores damaged wood,It repairs cracks in concrete,It creates a clear seal for damaged decking ,B
"Zinsser ""Gardz"" is primarily used for sealing damaged drywall. Which specific property of ""Gardz"" makes it ideal for this use?",4,Brand ,Zinsser,Its ability to act as a bonding agent for drywall texture,Its ability to penetrate and seal porous and chalky surfaces,Its high-gloss finish that masks imperfections,Its high heat resistance,B
"In woodturning, what is the primary purpose of using a ""skew chisel""?",5,General K,Wood turning,To make deep cuts on the lathe without creating a significant amount of shavings,"To produce precise, smooth cuts along the surface of the wood, especially for beads and coves","To achieve a smooth, glossy finish directly on the wood without further sanding","To shape the exterior of a bowl or hollow form by making rough, wide cuts",B
"When MDF is exposed to high humidity or moisture, which of the following is the most likely outcome?",4,Wood,Engineered,"The fibers will expand and compress evenly, causing little dimensional change","The resin will break down, leading to delamination and structural weakness",The board will shrink slightly due to moisture evaporation,"The wood fibers will lock together tighter, increasing its strength",B
"What is the primary reason for using veneer grading systems such as ""A,"" ""B,"" ""C,"" and ""D"" in plywood production?",4,Wood,Engineered,To determine the thickness of each veneer layer and its resistance to moisture,"To define the visual quality of the surface veneer, based on defect allowance",To classify the plywood's ability to absorb and hold paint or stain,To specify the load-bearing capacity of the plywood in different environmental conditions,B
OSB is commonly used in which of the following applications?,3,Wood,Engineered,Making cutting boards,Roofing and wall sheathing in construction,Furniture manufacturing,Making fine wood veneers,B
What is the main environmental concern regarding OSB production?,3,Wood,Engineered,OSB production generates large amounts of carbon dioxide emissions,"The adhesives used in OSB production often contain high levels of formaldehyde, which can be harmful",OSB production contributes significantly to deforestation,"OSB manufacturing requires excessive water use, leading to water scarcity",B
What type of wood finish is Protek known for?,1,Brand,Protek,Wax-based finishes,Water-based finishes,Oil-based finishes,Solvent-based finishes,B
Protek wood finishes utilize various types of resins for different purposes. Which of the following resins is most commonly used in Protek finishes for its excellent water resistance and durability in outdoor environments?,4,Brand,Protek,Urethane resin,Alkyd resin,Epoxy resin,Acrylic resin,B
"Protek offers a range of finishes, some of which are ""microporous."" What does it mean if a finish is microporous, and how does it benefit the wood?",2,Brand,Protek,"It forms a solid, non-breathing barrier to protect against extreme weather","It allows moisture to escape from the wood, preventing swelling and cracking while maintaining protection","It penetrates deep into the wood, binding the wood fibers and increasing strength","It provides a glossy, durable layer that makes the wood highly resistant to scratches and impacts",B
What finish in this Protek list is bee friendly? ,3,Brand,Protek,Protek wood preserver ++,Protek royal exterior paint,Protek wood oil,Protek uv protection oil ,B
Bamboo’s natural properties include a higher tensile strength than which material?,2,Wood,Bamboo,Iron,Steel,Concrete,Glass,B
Bamboo is known for its rapid growth rate. What is the average time it takes for bamboo to mature fully and become harvestable for wood products?,2,Wood,Bamboo,1–2 years,3–5 years,6–10 years,15–20 years,B
"In bamboo’s composition, lignin is an important structural component. What role does lignin play in bamboo’s ability to be used as a wood alternative?",2,Wood,Bamboo,"Lignin absorbs moisture, which makes bamboo more flexible and resistant to cracking","Lignin acts as a binder, holding cellulose fibers together and increasing bamboo's strength and stiffness","Lignin enhances the color and appearance of bamboo, making it ideal for furniture","Lignin speeds up the growing process, reducing the time it takes for bamboo to be harvested",B
Which of these is an important factor to consider when using Repair Care products for wood repair?,3,Wood,Repaircare,The products should only be used on painted wood,"The surface must be free of dust, dirt, and oil for best adhesion","Repair Care products can only be used during dry, sunny weather",The wood must be heated before applying the filler,B
"Cedar wood is known for its durability, but which environmental condition can it withstand especially well?",1,Wood,Cedar,Extreme heat,Moisture and humidity,Strong winds,Freezing temperatures,B
What is the primary reason cedar wood is often used in the construction of saunas?,2,Wood,Cedar,High density for structural support,Natural resistance to moisture and mildew.,Low cost,Resistance to extreme temperatures,B
What is the main advantage of using pine in furniture making?,2,Wood,Softwood,It is highly resistant to weather,It is easy to work with and affordable,It has a very dark color that gives an elegant look,It has high strength and durability compared to hardwoods,B
What type of wood is iroko?,1,Wood,Hardwood,Softwood,Hardwood,Exotic wood,Engineered wood,B
How does iroko wood compare in density to other hardwoods?,4,Wood,Hardwood,It is very light and weak,"It has a moderate density, making it strong but manageable.",It is extremely dense and difficult to work with,It is lighter than most softwoods,B
Which of the following is a distinguishing feature of iroko wood compared to teak?,5,Wood,Hardwood,Iroko has a significantly higher density than teak,"Iroko has a more prominent yellow to golden-brown color when freshly cut, which darkens over time",Iroko has a finer texture and is more easily carved than teak,Iroko is more resistant to saltwater exposure than teak,B
What type of wood is idigbo?,1,Wood,Hardwood,Softwood,Hardwood,Sapwood,Engineered wood,B
What is a primary characteristic of idigbo wood?,2,Wood,Hardwood,It is highly dense and difficult to cut,It is easy to work with and can be stained to resemble more expensive hardwoods like oak or mahogany,"It has a very strong, distinctive odor",It naturally resists moisture without any treatment,B
