questions,level,category,product,option_a,option_b,option_c,option_d,correct_option
"What is a key difference between Farrow & Ball's ""Estate Emulsion"" and ""Modern Emulsion""?",4,Brand,Farrow and ball," ""Modern Emulsion"" is more durable and suitable for high-traffic areas","""Estate Emulsion"" is only available in dark colors","""Modern Emulsion"" is a water-based gloss paint","""Estate Emulsion"" is for use on exterior surfaces"," ""Modern Emulsion"" is more durable and suitable for high-traffic areas"
"Which wood has a distinctive reddish-brown color and is often used in fine furniture making, particularly in veneers?",2,Wood,Colour,Rosewood,Ash,Elm,Birch,Rosewood
Which of these wood finishes is ideal for use on hardwoods in exterior applications with a protective and semi translucent finish?,3,Brand ,Sikkens,Sikkens Cetol HLS,Sikkens Satura,Sikkens TSI Satin,Sikkens Rubbol Gloss,Sikkens Cetol HLS
"Sadolin’s ""Sadolin Clearcoat"" is designed to provide which of the following?",3,Brand ,Sadolin ,A protective  finish for exterior wood with UV protection,A coloured finish for garden furniture,A clear varnish that preserves and seals in one ,A high-gloss finish for wooden floors,A protective  finish for exterior wood with UV protection
What type of paint is Earthborn known for?,1,Brand ,Earthborn,"Water-based, low VOC paints","Oil-based, high gloss paints",Acrylic paints,"Solvent-based, enamel paints","Water-based, low VOC paints"
What percentage of sheen should a satin have?,2,General K,Sheen,40%,30%,70%,90%,40%
What is mortar?,4,General K,,"A mixture of sand, water, and cement used to bind bricks, stones, or concrete blocks together",A type of wood adhesive used for joining pieces of timber in carpentry, A chemical solution used to paint concrete surfaces for a smooth finish.,A form of plaster used for creating textured wall finishes in interior design.,"A mixture of sand, water, and cement used to bind bricks, stones, or concrete blocks together"
What is a tack rag used for?,1,Application,,"To remove dust, dirt, and debris from surfaces before painting or finishing to ensure a smooth, clean finish",To apply the final layer of paint to a surface for a high-gloss finish,To wipe off excess paint or stain from a surface during application,"To polish furniture and create a shiny, smooth surface","To remove dust, dirt, and debris from surfaces before painting or finishing to ensure a smooth, clean finish"
What is the purpose of filling wood?,1,Product type,Filler,"To fix gaps, cracks and holes",To add colour to a surface,Improve wood integrity ,To add UV protection ,"To fix gaps, cracks and holes"
What should be done if wood filler shrinks after drying?,2,Product type,Filler,Apply a second layer of filler,Leave the shrinkage as is ,Apply a coat of paint immediately ,Dig it all out and start again ,Apply a second layer of filler
"If a paint can is labeled ""enamel,"" what does that typically mean about the paint?",2,Product type,Paint,"It is durable and has a hard, glossy finis",It is meant for indoor use only.,It is made from a synthetic polymer.,It’s a water based paint ,"It is durable and has a hard, glossy finis"
Which of the following is a common reason for paint to peel off a surface?,2,Product type,Paint,Improper surface preparation or contamination,Using a brush instead of a roller,Applying paint in too many coats.,Choosing a paint color that is too dark,Improper surface preparation or contamination
Polyvine wood finishes are known for being?,1,Brand,Polyvine,Water-based and quick-drying,Oil-based ,Acidic and harmful to wood,Highly flammable,Water-based and quick-drying
Which of the following is a common use for white spirit in household maintenance?,1,General K ,W spirit,Cleaning paintbrushes after using oil-based paints,Polishing furniture,Removing grease from kitchen surfaces,Deodorizing carpets,Cleaning paintbrushes after using oil-based paints
What is the correct thinners for Morrells 250 pre catalyst lacquer? ,4,Brand,Morrells,Morrells cellulose thinners,Morrells hydrocarbon free thinners,Morrells equiptment cleaner,Morrells light fast thinners ,Morrells cellulose thinners
Which of the following surfaces is PeelAway safe to use on?,4,Brand,Peelaway,"Wood, masonry, and metal",Fabric and carpets,"wood, glass and ceramic",Leather and plastics,"Wood, masonry, and metal"
How does PeelAway handle multi-layered paint removal differently from many other paint removal products?,3,Brand,Peelaway,It can remove several layers at once without damaging the underlying substrate,It works by creating a chemical reaction that dissolves all layers simultaneously,It requires reapplication every hour for effective results,"It removes only the topmost layer, leaving others intact for a second round",It can remove several layers at once without damaging the underlying substrate
"Someone wants to use Cuprinol garden shades but need a wood preserver first, what one would you recommend? ",3,General K,Scenario,Cuprinol wood preserver clear,Barrettine premier wood preservative,Ronseal total wood preserver green,Barrettine wood protective treatment ,Cuprinol wood preserver clear
What is the primary purpose of Ronseals decking cleaner and reviver product?,2,Brand,Ronseal ,To revive and restore old dirty timber,To protect wooden surfaces from UV damage,To fill cracks and gaps in exterior wood,To create a gloss finish on all wood types,To revive and restore old dirty timber
"Zinsser ""Bin"" Shellac-Based Primer is known for its exceptional stain-blocking ability. Which of the following surfaces is it most effective at blocking stains from?",3,Brand,Zinsser,"Water, smoke and nicotine",Alkaline stains,Lead based paint and graffiti ,Old peeling paint stains,"Water, smoke and nicotine"
"Which of the following features makes Rust-Oleum ""Painter’s Touch Ultra Cover"" spray paint ideal for both indoor and outdoor use?",3,Brand,Rustoleum,It contains an acrylic resin that resists UV degradation,It is specifically designed to adhere only to porous surfaces,It uses a water-based formula that cures through evaporation,It provides a low-gloss finish suitable for heavy-duty applications,It contains an acrylic resin that resists UV degradation
Which of the following is a primary material used in the production of MDF?,2,Wood,Engineered,Wood fibers and resin,Steel and wood shavings,Recycled plastic and paper,Long sheets of veneer,Wood fibers and resin
What is the primary reason that plywood typically performs better than solid wood in resisting expansion and contraction due to humidity?,4,Wood,Engineered,"The layers of plywood have a cross-grain construction, which minimizes dimensional changes","Plywood is made from softwood, which naturally resists moisture changes","The adhesive used in plywood prevents moisture absorption, ensuring stability",Plywood is laminated with thin layers of solid wood that are more stable,"The layers of plywood have a cross-grain construction, which minimizes dimensional changes"
What does OSB stand for?,1,Wood,Engineered,Oriented Strand Board,Organic Striped Board,Old Structural Board,Overlaid Strand Binder,Oriented Strand Board
Which of the following is a disadvantage of OSB when compared to plywood?,2,Wood,Engineered,OSB is more prone to warping and swelling when exposed to moisture,OSB is more durable for long-term outdoor use,OSB has a more aesthetically pleasing surface for finishing,OSB can be used for heavy structural beams,OSB is more prone to warping and swelling when exposed to moisture
What two Protek products are the same just marketed differently?,2,Brand,Protek,Protek royal interior stain and Protek royal exterior stain,Protek stable coat and Protek eco shield,Protek royal interior paint and Protek royal exterior stain,Protek wood preserver ++ and Protek eco shield,Protek royal interior stain and Protek royal exterior stain
Protek wood finishes are designed to protect wood from a variety of external factors. Which of the following is NOT typically one of these protective properties?,3,Brand,Protek,Anti-static properties to prevent dust accumulation,UV resistance to prevent wood fading,Water resistance to prevent swelling and warping,Resistance to fungal and mold growth,Anti-static properties to prevent dust accumulation
Protek’s exterior wood finishes are designed to be durable under harsh weather conditions. Which of the following would be an example of a failure mode when applying Protek wood finishes to outdoor furniture in a coastal environment?,4,Brand,Protek,The finish may break down more quickly due to prolonged exposure to saltwater and high humidity,The finish would chip off quickly due to low temperatures in coastal areas,The finish will cause the wood to swell excessively and form bubbles on the surface,"The finish would enhance the wood’s resistance to insects and pests, even in coastal conditions",The finish may break down more quickly due to prolonged exposure to saltwater and high humidity
Which of the following is a common use of bamboo in construction and wood products?,1,Wood,Bamboo,"As flooring, furniture, and paneling",As a material for creating textiles,As a natural substitute for stone in heavy structural applications,As a synthetic alternative to plastic,"As flooring, furniture, and paneling"
Bamboo is often processed into engineered wood products like plywood. What is the main advantage of using bamboo plywood?,4,Wood,Bamboo,It is lighter and stronger than most hardwood plywood,It is harder to work with than other materials,It is more expensive than traditional plywood due to its rarity,It has a smoother finish than traditional plywood,It is lighter and stronger than most hardwood plywood
Which of the following is a key feature of Repair Care's repair systems?,2,Wood,Repaircare,They are suitable for both interior and exterior wood repairs,They provide a glossy finish only for aesthetic purposes,They do not require mixing,They are designed only for new wood,They are suitable for both interior and exterior wood repairs
What wood are log cabins generally made from? ,2,General K,Wood,Spruce,Teak,Mahogany,Iroko,Spruce
Which type of cedar wood is most commonly used for making outdoor furniture?,2,Wood,Cedar,Western Red Cedar,Eastern Red Cedar,Alaskan Yellow Cedar,Cedar of Lebanon,Western Red Cedar
What is one downside of cedar wood in terms of its physical properties?,3,Wood,Cedar,Softness and susceptibility to dents,Low cost,High density,Low resistance to moisture,Softness and susceptibility to dents
