Questions,Level,Category ,,Answer 1,Answer 2,Answer 3,Answer 4 ,Correct Answer
"Customer has used Osmo 3044 on teak, looks milky, why is this? ",3,Brand,Osmo,Wrong product used,Wrong application method,Sanded too finely ,Product has not been mixed ,A
What does open time mean? ,3,General Q,,How long once a product is opened you can use it,The curing time of a product,The drying time of a product ,The time you have to mix the product ,A
What causes blooming on a finish? ,3,General Q,,Moisture  ,Natural oils ,Swelling of paint film ,Lack of adhesion ,A
What is an orbital sander used for? ,3,Preparation ,Sanding,Rotates in circles and back and forth typically used for flooring ,The smallest sander and made for getting in tight spots ,A big floor sander that normally takes drum belts ,Is a detail sander for sanding intricate details,A
Which wood in this list is known for being difficult to stain? ,3,Wood,Hardwood,Beech,Pine,Oak,Ash ,A
"Customer has old 1950's lead based paint to remove, what stripper is best? ",3,Product type,Stripper,Peelaway 1 ,Paint panther paint and varnish remover,Peelaway 7 ,Polyvine paint and varnish remover,A
What does a product do when it intumenscences? ,3,General Q,,Swells ,Contracts,Changes colour,Lets moisture out ,A
What is classed as a cold paint colour?,3,Product type,Paint,Blue,Red,Yellow,Orange,A
"A customer wants a clear finish for their teak external furniture, what is best after weathering? ",3,Wood,Hardwood,Fiddes exterior high build wood oil ,Osmo UV protection oil extra ,Barrettine wood protective treatment,Sadolin extra durable clearcoat,A
What cant you apply the Bona freshen up with?,3,Brand,Bona,Roller,Flat mop,Microfibre applicator pad,Brush,A
What wood would a reactive stain work best with?,3,Product type,Stain,Oak,Pine,Beech,Maple,A
What project would you use a alkali resisting primer? ,4,Product type,Primer,On masonry and new plaster where PH levels are high,In a bathroom where there is a lot of condensation,On flooring where you need to increase durability,On metal ,A
What type of trowel is best for Bona quantum? ,4,Brand,Bona,1500g course,500g fine,1000 course,750g medium-course,A
What chemical substances make up wood? ,4,General K,Chemicals,"Cellulose, Hemicellulose, Lignin, Extractives, Tannins","Cellulose, water, bark, lignin, leaves","Cellulose, water, Nitrogen, Tannins and Sugar","Lignin, water, bark, cement and silica",A
What does the term sidebonding mean?,4,Varnish,,Floor boards are uninterntially glued together along their edges ,When a product runs down the sides of the boards,When a product absorbs into the end grain meaning the boards swell,When a product does not adhere to the substrate,A
Why does paint sometimes 'wrinkle' or 'crinkle' as it dries? ,4,Product type,Paint,Paint dries too fast on the surface and contracts on layers below are too wet,Paint dries to slow on the surface and doesn’t adhere to layers below,"Contaminates on the surface such as grease, oil, wax",Spraying paint to a cold surface,A
What repair care dry flex would be most suitable for hot humid conditions?,4,Brand,Repaircare,DRY FLEX 16,DRY FLEX 1,DRY FLEX 4,DRY FLEX 21,A
What is the chemical reaction behind 'yellowing' or darkening over top when using oil finishes? ,4,Product type,Oil,Oxidation of oil molecules,Reduction of wood moisture content,Formation of acids from chemical reactions,Release of tannins from the wood,A
What is the primary reason that ciranova oil based finishes require a longer curing time compared to water based finishes? ,4,Brand,Ciranova,Oil based have chemical reaction called oxidation which requires additional time,Water based finishes use a faster drying solvent,Oil based finishes contain more volatile organic compounds and take 3 days to dry,Oil based finishes require heat to cure properly,A
Dulux Trade Diamond Matt is highly regarded for its durability in high-traffic areas. What unique feature of the product's formulation contributes to its exceptional resistance to stains and marks?,4,Brand,Dulux,The paint contains a special blend of acrylic resins that cross-link to form an ultra-durable finish resistant to scuffing and staining.,"It uses a high-pigment formula that creates a thick layer, preventing any stains from penetrating the surface.","The paint is fortified with an additional layer of polymerized wax, which makes it hydrophobic and stain-resistant.",It includes an anti-bacterial agent that repels stains and resists mold growth in humid areas.,A
What type of nails are recommend for someone making a gate? And then staining?,4,Product type,Stain,Galvanised steel nails,Copper nails,Aluminum nails,Un galvanised steel,A
"If someone has a log cabin and its 10m (l) x 4.5m  (w) and 3m (h) and they want to do the four walls inside, outside, flooring and ceiling. How many m2 do they have? ",4,Measurements,,177,171,166,189,A
"When applying Zinsser ""BIN"" shellac-based primer on wood surfaces with significant moisture exposure (e.g., exterior wood trim), why is it important to seal the wood with a moisture-resistant topcoat after BIN application?",4,Brand,Zinsser, BIN does not provide sufficient long-term moisture protection on its own and may break down when exposed to water over time.,BIN’s high-gloss finish creates a reflective layer that blocks UV rays but does not form an impermeable moisture barrier.,"The shellac in BIN is too porous and allows moisture to seep through, so a final waterproof layer is needed to prevent potential damage.","Although BIN seals the wood from moisture, it lacks UV protection, so a topcoat is required to prevent color fading.",A
What product on the website has a isocyanate warning? ,4,General K,Chemicals,Manns extra tough pro lacquer,Ronseal diamond hard interior varnish ,Manns trade bar top lacquer,Bona Traffic HD  ,A
"How does the use of light pastel colors like soft pink, mint green, or lavender affect the mood of a room?",4,Colour,Mood,"Light pastel colours are known to create a soothing, peaceful and serene atmosphere",Pastel colors make rooms feel darker and more enclosed,Pastels are associated with high energy and excitement,Pastels are typically used for office spaces to boost concentration and productivity,A
"What is the role of the lignin component in wood's resistance to biodegradation, and how does it interact with the cellulose fibers?",5,Wood,," lignin interacts with cellulose fibers by cross-linking with them, reinforcing the cell wall structure.","Lignin provides nutrients to microbial organisms, promoting biodegradation in wood","Lignin acts as a lubricant, facilitating the breakdown of cellulose fibers during biodegradation","Lignin is responsible for the elasticity of wood, allowing it to resist biodegradation by bending and avoiding physical damage",A
"Which adhesive is ideal for creating a bond between two pieces of wood with different moisture contents, such as during woodworking in varying humidity?",5,Product type,Adhesive,Polyurethane glue,PVA glue,Epoxy resin,Hot glue,A
What happens to the wood surface after it is charred in the Shou Sugi Ban technique?,5,General K,,It forms a protective carbonized layer,It becomes smooth and shiny,It becomes porous and soft,It starts to degrade immediately,A
"Which of the following colors, when used in large quantities on walls, can make a room feel smaller and more enclosed, contrary to popular belief about its spaciousness?",5,Colour,Mood,Dark purple,Light grey,Bright white,Soft peach,A
"Which of the following oils is derived from the seeds of the Aleurites fordii tree and is known for its superior resistance to water and mildew, often used in boat building and other marine applications?",5,Product type,Oil,Tung oil ,Palm oil ,Linseed oil ,Walnut oil ,A
Which wood preservative is commonly used for fence posts and decking materials?,5,Product type,Preserver,Chromated copper arsenate (CCA),Borate,Tannin-based preservatives,Zinc oxide,A
Earthborn's paints are known for their minimal environmental impact. Which of the following elements contributes most to this low environmental impact?,5,Brand,Earthborn,Exclusive use of natural pigments and clays,High solvent content that helps the paint dry faster,Exclusive use of titanum dioxide ,Use of synthetic resins to enhance paint performance,A
How is galvanisation done?,5,General K,,By coating steel or iron with a layer of zinc through a hot-dip process,By heating the metal until it becomes molten and then exposing it to oxygen for hardening,By using a chemical solution to bond aluminum to steel for protection against corrosion,By applying a thin layer of copper coating to the metal surface for corrosion resistance,A
How does the particle size of titanium dioxide in paint influence its performance?,5,General K,,Smaller particle sizes increase the opacity and brightness of the paint by enhancing light scattering.,Larger particle sizes are preferred to increase the paint's coverage and durability,Smaller particles decrease the paint's durability but increase its glossiness,"Larger particles improve paint flow, making the application smoother",A
What Polyvine product can be used to seal MDF? ,5,Brand,Polyvine,Polyvine multi surface lacquer,Polyvine heavy duty interior varnish,Polyvine heavy duty extreme varnish,Polyvine decorators varnish,A
What is the primary advantage of using waterborne preservatives over oil-based preservatives?,1,Product type,Preserver,Waterborne preservatives are generally less toxic and more eco-friendly,Waterborne preservatives provide a longer-lasting finish,Waterborne preservatives are more resistant to UV degradation,Waterborne preservatives penetrate deeper into the wood,A
Why is it important to apply Osmo finishes in thin layers rather than thick layers?,1,Brand,Osmo,Thin layers allow for better adhesion to the surface and avoid a tacky finish ,Thick layers provide a more durable finish but require much longer drying times,Thin layers are more prone to peeling and cracking ,Thick layers result in a glossy finish with good durability,A
5. Dulux Trade High Gloss is often used for woodwork. What is a key benefit of using High Gloss on wood compared to other finishes like satin or matt?,3,Brand,Dulux," It offers a smooth, reflective surface that makes the wood less prone to stains and marks","It allows for quick drying, but is less durable than other finishes","It enhances the wood grain, providing a more natural and matte appearance","It is ideal for covering existing paint layers, but may cause the wood surface to appear rough and uneven.",A
What psychological effect does using yellow paint in a room generally have?,3,Colour,Mood,"Yellow is uplifting, energizing colour that can stimulate happiness",Yellow is a calming colour that promotes deep relaxation ,"Yellow is best for creating a serious, focused atmopshere",Yellow shouldbe avoided in rooms because it causes feelings of anxiety ,A
"What does ""quarter-sawn"" wood grain refer to?",4,Wood,Grain,"Quarter-sawn wood is cut at a 90-degree angle to the growth rings, resulting in a straight grain pattern with a distinctive ""ray"" appearance","Quarter-sawn wood has a random, irregular grain pattern that enhances the wood's strength","Quarter-sawn wood is cut parallel to the growth rings, producing a wavy grain",Quarter-sawn wood grain comes from the outermost layer of the tree trunk,A
How can wood grain affect the strength of the wood?,3,Wood,Grain,"The alignment of the grain fibers impacts the wood’s strength. Wood with straight grain is stronger and more stable, while twisted or irregular grain reduces strength",The wood grain pattern does not affect the strength or stability of the wood,Irregular grain patterns increase the strength of the wood due to their unique structure,Wood with wavy grain is the most durable and resistant to breaking,A
Which of the following is a softwood tree?,1,Wood,Softwood,Spruce,Mahogany,Ash,Beech,A
What is the primary characteristic of softwood fibers?,2,Wood,Softwood,Softwood fibers are generally long and straight,Softwood fibers are short and twisted,Softwood fibers are hard and compact,Softwood fibers are highly porous,A
Which of the following hardwoods is commonly used for flooring?,1,Wood,Hardwood,Oak,Pine,Teak  ,Redwood,A
"Which hardwood is known for its unique ""figured"" grain patterns, such as curly or quilted grain",5,Wood,Hardwood,Maple,Oak  ,Pine ,Ash,A
What type of wood is commonly used for turning on a lathe?,4,Wood,Hardwood,Maple,Pine  ,Cedar,Bamboo,A
What makes ebony wood especially valuable?,3,Wood,Hardwood,"Ebony is prized for its dense, dark color and fine texture, often used for inlays and luxury items",Ebony is a very light wood that is easy to carve and shape,"Ebony is soft and inexpensive, used mainly for construction",Ebony has a uniform light color and is used for outdoor furniture,A
Which of the following is a primary effect of UV exposure on wood surfaces?,2,Wood,UV,UV exposure causes the wood to lose its colour and become grayed,UV exposure makes the wood darker and enhances its grain pattern,"UV exposure strengthens the fibers, making the wood more durable",UV exposure makes the wood more flexible and resistant to cracking,A
How does UV degradation affect the structural integrity of wood?,4,Wood,UV,"UV degradation weakens the wood's cellular structure, leading to reduced strength and increased brittleness.",UV degradation strengthens the wood's structure by promoting new growth,UV degradation makes the wood more resistant to impact damage,UV degradation does not affect the strength of the wood but changes its appearance,A
What material is commonly used as the abrasive in sandpaper?,3,Preparation,Sandpaper,Aluminum Oxide,Copper,Iron,Gold,A
Which of the following is a primary ingredient in Osmo wood finishes? ,4,Brand,Osmo,Linseed oil,Silicone,Beeswax,Water,A
How often does Osmo recommend reapplying their finishes on exterior wood?,1,Brand,Osmo,2 years,1 year,1.5 years,4 years,A
What is the ideal temperature range for applying Osmo Wood Finishes?,2,Brand ,Osmo,8 - 25 degrees,0 - 5 degrees,25 - 35 degrees,5 - 25 degrees,A
What is the recommended method to test the effectiveness of Osmo finishes in providing water resistance?,3,Brand ,Osmo ,Place a small droplet of water on the surface and check after an hour,Submerge the wood in water for 30 minutes and inspect the wood’s response,Use a heat gun to dry the wood after applying Osmo finishes,Press a damp cloth onto the finished surface and observe any colour change,A
Which factor limits the use of Zinsser’s BIN Shellac-Based Primer in certain projects?,4,Brand ,Zinsser,It is highly susceptible to water damage and is not suitable for exterior applications,It is incompatible with other oil-based paints,It requires specialized solvents to clean up after use,It can only be applied at temperatures above 70°F (21°C) to cure properly,A
Cuprinol’s Decking Cleaner is designed to prepare decking before treatment. What is the primary function of this cleaner?,2,Brand,Cuprinol,It restores the wood’s natural colour and texture by removing dirt and algae,"It removes old, peeling paint and creates a smooth surface",It provides a protective coating that prevents future staining,It seals the surface to prevent moisture from entering the wood,A
Which type of adhesive is best for outdoor woodworking projects where moisture resistance is required?,3,Product type,Adhesive,Polyurethane glue,PVA glue,Hot glue,Superglue,A
What is the most common cause of paint peeling off a surface?,1,Product type,Paint,Poor surface preparation,Using the wrong type of brush,Applying paint too thinly,Using a paint roller instead of a brush,A
"What does the term ""flaking"" refer to in painting?",1,Product type,Paint,When paint peels off in small chips or flakes,When the paint changes colour after drying,When paint causes the surface to bubble,When paint gets too sticky to touch,A
"What is the most likely cause of paint ""wrinkling"" on a wall?",3,Product type,Paint,Applying paint too thickly or too quickly,Applying paint too thinly,Painting over a dirty or oily surface,Using a low-quality paintbrush,A
What is the most common cause of discoloration or yellowing of paint over time?,2,Product type,Paint,Oxidation of the paint due to UV exposure,Exposure to high humidity,Using a low-quality primer,Applying paint in cool temperatures,A
"What is the primary reason why varnish tends to yellow over time, especially in clear finishes?",2,Product ,Varnish ,"The resins in the varnish react with UV light, causing the yellowing effect",The varnish was mixed with too much solvent during application,The varnish undergoes a chemical reaction with water,"The varnish absorbs moisture from the air, causing discoloration",A
What is the common environmental concern associated with the use of some wood preservatives?,2,Product ,Preserver,They can leach harmful chemicals into the soil and water,They increase the rate of natural decay in untreated wood,They cause wood to become more prone to mold growth,They attract unwanted pests,A
Farrow & Ball paints are primarily made with which type of pigment?,2,Brand,Farrow and ball,Natural pigments,Synthetic pigments,Chalk-based pigments,Fluorescent pigments,A
"What is a key difference between Farrow & Ball's ""Estate Emulsion"" and ""Modern Emulsion""?",4,Brand,Farrow and ball," ""Modern Emulsion"" is more durable and suitable for high-traffic areas","""Estate Emulsion"" is only available in dark colors","""Modern Emulsion"" is a water-based gloss paint","""Estate Emulsion"" is for use on exterior surfaces",A
"Which wood has a distinctive reddish-brown color and is often used in fine furniture making, particularly in veneers?",2,Wood,Colour,Rosewood,Ash,Elm,Birch,A
Which of these wood finishes is ideal for use on hardwoods in exterior applications with a protective and semi translucent finish?,3,Brand ,Sikkens,Sikkens Cetol HLS,Sikkens Satura,Sikkens TSI Satin,Sikkens Rubbol Gloss,A
"Sadolin’s ""Sadolin Clearcoat"" is designed to provide which of the following?",3,Brand ,Sadolin ,A protective  finish for exterior wood with UV protection,A coloured finish for garden furniture,A clear varnish that preserves and seals in one ,A high-gloss finish for wooden floors,A
What type of paint is Earthborn known for?,1,Brand ,Earthborn,"Water-based, low VOC paints","Oil-based, high gloss paints",Acrylic paints,"Solvent-based, enamel paints",A
What percentage of sheen should a satin have?,2,General K,Sheen,40%,30%,70%,90%,A
What is mortar?,4,General K,,"A mixture of sand, water, and cement used to bind bricks, stones, or concrete blocks together",A type of wood adhesive used for joining pieces of timber in carpentry, A chemical solution used to paint concrete surfaces for a smooth finish.,A form of plaster used for creating textured wall finishes in interior design.,A
What is a tack rag used for?,1,Application,,"To remove dust, dirt, and debris from surfaces before painting or finishing to ensure a smooth, clean finish",To apply the final layer of paint to a surface for a high-gloss finish,To wipe off excess paint or stain from a surface during application,"To polish furniture and create a shiny, smooth surface",A
What is the purpose of filling wood?,1,Product type,Filler,"To fix gaps, cracks and holes",To add colour to a surface,Improve wood integrity ,To add UV protection ,A
What should be done if wood filler shrinks after drying?,2,Product type,Filler,Apply a second layer of filler,Leave the shrinkage as is ,Apply a coat of paint immediately ,Dig it all out and start again ,A
"If a paint can is labeled ""enamel,"" what does that typically mean about the paint?",2,Product type,Paint,"It is durable and has a hard, glossy finis",It is meant for indoor use only.,It is made from a synthetic polymer.,It’s a water based paint ,A
Which of the following is a common reason for paint to peel off a surface?,2,Product type,Paint,Improper surface preparation or contamination,Using a brush instead of a roller,Applying paint in too many coats.,Choosing a paint color that is too dark,A
Polyvine wood finishes are known for being?,1,Brand,Polyvine,Water-based and quick-drying,Oil-based ,Acidic and harmful to wood,Highly flammable,A
Which of the following is a common use for white spirit in household maintenance?,1,General K ,W spirit,Cleaning paintbrushes after using oil-based paints,Polishing furniture,Removing grease from kitchen surfaces,Deodorizing carpets,A
What is the correct thinners for Morrells 250 pre catalyst lacquer? ,4,Brand,Morrells,Morrells cellulose thinners,Morrells hydrocarbon free thinners,Morrells equiptment cleaner,Morrells light fast thinners ,A
Which of the following surfaces is PeelAway safe to use on?,4,Brand,Peelaway,"Wood, masonry, and metal",Fabric and carpets,"wood, glass and ceramic",Leather and plastics,A
How does PeelAway handle multi-layered paint removal differently from many other paint removal products?,3,Brand,Peelaway,It can remove several layers at once without damaging the underlying substrate,It works by creating a chemical reaction that dissolves all layers simultaneously,It requires reapplication every hour for effective results,"It removes only the topmost layer, leaving others intact for a second round",A
"Someone wants to use Cuprinol garden shades but need a wood preserver first, what one would you recommend? ",3,General K,Scenario,Cuprinol wood preserver clear,Barrettine premier wood preservative,Ronseal total wood preserver green,Barrettine wood protective treatment ,A
What is the primary purpose of Ronseals decking cleaner and reviver product?,2,Brand,Ronseal ,To revive and restore old dirty timber,To protect wooden surfaces from UV damage,To fill cracks and gaps in exterior wood,To create a gloss finish on all wood types,A
"Zinsser ""Bin"" Shellac-Based Primer is known for its exceptional stain-blocking ability. Which of the following surfaces is it most effective at blocking stains from?",3,Brand,Zinsser,"Water, smoke and nicotine",Alkaline stains,Lead based paint and graffiti ,Old peeling paint stains,A
"Which of the following features makes Rust-Oleum ""Painter’s Touch Ultra Cover"" spray paint ideal for both indoor and outdoor use?",3,Brand,Rustoleum,It contains an acrylic resin that resists UV degradation,It is specifically designed to adhere only to porous surfaces,It uses a water-based formula that cures through evaporation,It provides a low-gloss finish suitable for heavy-duty applications,A
Which of the following is a primary material used in the production of MDF?,2,Wood,Engineered,Wood fibers and resin,Steel and wood shavings,Recycled plastic and paper,Long sheets of veneer,A
What is the primary reason that plywood typically performs better than solid wood in resisting expansion and contraction due to humidity?,4,Wood,Engineered,"The layers of plywood have a cross-grain construction, which minimizes dimensional changes","Plywood is made from softwood, which naturally resists moisture changes","The adhesive used in plywood prevents moisture absorption, ensuring stability",Plywood is laminated with thin layers of solid wood that are more stable,A
What does OSB stand for?,1,Wood,Engineered,Oriented Strand Board,Organic Striped Board,Old Structural Board,Overlaid Strand Binder,A
Which of the following is a disadvantage of OSB when compared to plywood?,2,Wood,Engineered,OSB is more prone to warping and swelling when exposed to moisture,OSB is more durable for long-term outdoor use,OSB has a more aesthetically pleasing surface for finishing,OSB can be used for heavy structural beams,A
What two Protek products are the same just marketed differently?,2,Brand,Protek,Protek royal interior stain and Protek royal exterior stain,Protek stable coat and Protek eco shield,Protek royal interior paint and Protek royal exterior stain,Protek wood preserver ++ and Protek eco shield,A
Protek wood finishes are designed to protect wood from a variety of external factors. Which of the following is NOT typically one of these protective properties?,3,Brand,Protek,Anti-static properties to prevent dust accumulation,UV resistance to prevent wood fading,Water resistance to prevent swelling and warping,Resistance to fungal and mold growth,A
Protek’s exterior wood finishes are designed to be durable under harsh weather conditions. Which of the following would be an example of a failure mode when applying Protek wood finishes to outdoor furniture in a coastal environment?,4,Brand,Protek,The finish may break down more quickly due to prolonged exposure to saltwater and high humidity,The finish would chip off quickly due to low temperatures in coastal areas,The finish will cause the wood to swell excessively and form bubbles on the surface,"The finish would enhance the wood’s resistance to insects and pests, even in coastal conditions",A
Which of the following is a common use of bamboo in construction and wood products?,1,Wood,Bamboo,"As flooring, furniture, and paneling",As a material for creating textiles,As a natural substitute for stone in heavy structural applications,As a synthetic alternative to plastic,A
Bamboo is often processed into engineered wood products like plywood. What is the main advantage of using bamboo plywood?,4,Wood,Bamboo,It is lighter and stronger than most hardwood plywood,It is harder to work with than other materials,It is more expensive than traditional plywood due to its rarity,It has a smoother finish than traditional plywood,A
Which of the following is a key feature of Repair Care's repair systems?,2,Wood,Repaircare,They are suitable for both interior and exterior wood repairs,They provide a glossy finish only for aesthetic purposes,They do not require mixing,They are designed only for new wood,A
What wood are log cabins generally made from? ,2,General K,Wood,Spruce,Teak,Mahogany,Iroko,A
Which type of cedar wood is most commonly used for making outdoor furniture?,2,Wood,Cedar,Western Red Cedar,Eastern Red Cedar,Alaskan Yellow Cedar,Cedar of Lebanon,A
What is one downside of cedar wood in terms of its physical properties?,3,Wood,Cedar,Softness and susceptibility to dents,Low cost,High density,Low resistance to moisture,A
"Cedar wood is considered a softwood, but how does its density typically compare to other softwoods like pine?",4,Wood,Cedar,Cedar is less dense than pine,Cedar is denser than pine,Cedar and pine have the same density.,Cedar is the densest of all softwoods,A
Which of the following is a characteristic of pine wood?,1,Wood,Softwood,Light in colour and relatively soft,Very dark in color and hard,Dense and heavy,Highly resistant to rot and insects,A
What is the primary reason pressure treated pine wood is often used for outdoor furniture and decking?,2,Wood,Softwood,It is treated with preservatives to resist decay and insects,It naturally resists all weather conditions,It is naturally waterproof,It requires no maintenance or treatment over time,A
What is iroko wood primarily used for?,2,Wood,Hardwood,"Furniture, flooring, and boat building",Paper production,Carving sculptures,Packaging materials,A
What is the scientific name of iroko wood?,5,Wood,Hardwood,Milicia excelsa,Tectona grandis,Quercus robur,Quercus robur,A
Which chemical property of iroko wood can pose a risk when working with it?,5,Wood,Hardwood,The wood contains compounds that can cause skin irritation or respiratory issues during prolonged exposure,The wood contains high levels of tannins that cause it to be highly toxic when burned,The wood contains strong acids that corrode metal tools,The wood releases a volatile compound that is highly flammable in certain conditions,A
What is the typical colour of freshly cut idigbo wood?,4,Wood,Hardwood,Pale yellow to light brown,Dark red to reddish-brown,Light grey to white,Golden-yellow with dark streaks,A
What is the scientific name of the tree species that produces idigbo wood?,5,Wood,Hardwood,Terminalia ivorensis,Tectona grandis,Quercus robur,Picea abies,A
What is the primary effect of raised grain on the appearance of wood?,5,Wood,Grain,"It causes the wood surface to feel rough and uneven, affecting the smoothness of the finish.","It creates a glossy, smooth finish on the wood","It enhances the natural color of the wood, making it appear richer",It makes the wood surface more resistant to moisture,A
Which of the following is the primary reason raised grain tends to be more prominent in coarse-grained hardwoods compared to fine-grained hardwoods?,5,Wood,Grain,"Coarse-grained woods have larger fibers that absorb moisture more readily, causing them to swell and raise more easily.","Coarse-grained woods have lower moisture content, which prevents raised grain","Fine-grained woods have more moisture content, which makes them more prone to raised grain","The tannin content in coarse-grained woods interacts with moisture, preventing raised grain",A
Which sandpaper grit is typically used for smoothing wood before applying a varnish finish?,1,Preparation,Sanding,180,40,60,120,A
"Why is it important to use progressive sanding grits (e.g., 80, 150, 220) when finishing wood?",3,Preparation,Sanding,"Using progressively finer grits ensures the removal of scratches left by coarser grits, resulting in a smoother, more refined surface for finishing.","It helps to create deeper scratches, which enhances the texture of the wood","It makes the wood more porous, allowing stains and finishes to absorb better",It eliminates the need for sanding with finer grits after the initial sanding,A
What type of sanding machine is typically used for smoothing large flat surfaces?,2,Preparation,Sanding,Drum sander,Belt sander,Random orbital sander,Detail sander,A
Which sanding machine is typically used for sanding edges and small curved areas in woodworking?,3,Preparation,Sanding,Oscillating spindle sander,Belt sander,Random orbital sander,Disk sander,A
Which of the following factors can cause wood to warp?,2,Wood,,Excessive moisture absorption on one side,"Exposure to constant, even humidity",Regular temperature fluctuations,Proper drying techniques,A
"What is ""bowing"" in the context of wood warping?",2,Wood,,When the edges of a board curve up or down,When the wood twists along its length,When the surface of the wood becomes uneven due to improper sanding,When the wood becomes too brittle to work with,A
"What is the purpose of a ""chiseled"" edge on a paintbrush?",2,Application,Brush,"To help the brush create sharp, clean lines along edges",To improve brush durability,To create a textured finish on the surface,To allow the brush to hold more paint,A
How can you prevent grain reversal when sanding wood?,4,,,Sand in the direction of the wood grain,Always use a coarse grit sandpaper,Sand across the grain to avoid grain lifting,Apply a thick coat of finish before sanding,A
What Bona product can you use over the Bona craft oil 2k for more durability?,2,Brand,Bona,Bona Traffic HD  ,Bona classic UX primer,Bona mega ,Bona mega evo ,A
What is the purpose of Bona Polish for hardwood floors?,1,Brand,Bona,To restore shine and provide a protective layer,To clean grout and tile,To treat leather furniture,To fully protect wood surfaces,A
